Console,Title,Licensee,Released
NES,Snake Rattle 'n Roll,Nintendo,1990-07-01
NES,Snake's Revenge: Metal Gear II,Ultra Soft,1990-04-01
NES,Snoopy's Silly Sports Spectacular,Seika,1990-04-01
NES,Snow Brothers,Capcom,1991-11-01
NES,Soccer,Nintendo,1987-03-01
NES,Solar Jetman: Hunt for the Golden Warship,Tradewest,1990-09-01
NES,Solomon's Key,Tecmo,1987-07-01
NES,Solstice,Sony Imagesoft,1990-06-01
NES,Space Shuttle Project,Absolute,1991-11-01
NES,Spelunker,Broderbund,1987-09-01
NES,Spider-Man: Return of the Sinister Six,LJN,1992-10-01
NES,Spot,Virgin Interactive,1990-09-01
NES,Spy Hunter,Sunsoft,1987-09-01
NES,Spy vs. Spy,Seika,1988-10-01
NES,Sqoon,Irem,1987-09-01
NES,Stack-Up,Nintendo,1985-10-01
NES,Stadium Events,Bandai,1987-09-01
NES,Stanley and the Search for Dr. Livingston,Electro Brain,1992-10-01
NES,Star Force,Tecmo,1987-11-01
NES,Star Soldier,Taxan,1989-01-01
NES,Star Trek,Ultra Soft,1992-02-01
NES,Star Trek: The Next Generation,Absolute,1993-09-01
NES,Star Voyager,Acclaim,1987-09-01
NES,Star Wars,JVC,1991-11-01
NES,Starship Hector,Hudson Soft,1990-06-01
NES,StarTropics,Nintendo,1990-12-01
NES,Stealth ATF,Activision,1989-10-01
NES,Stinger,Konami,1987-09-01
NES,Street Cop,Bandai,1989-06-01
NES,Street Fighter 2010: The Final Fight,Capcom,1990-09-01
NES,Strider,Capcom,1989-07-01
NES,Super C,Konami,1990-04-01
NES,Super Cars,Electro Brain,1991-02-01
NES,Super Dodge Ball,Sony Imagesoft,1989-06-01
NES,Super Glove Ball,Mattel Inc.,1990-10-01
NES,Super Jeopardy!,Gametek,1991-09-01
NES,Super Mario Bros.,Nintendo,1985-10-01
NES,Super Mario Bros. 2,Nintendo,1988-10-01
NES,Super Mario Bros. 3,Nintendo,1990-02-01
NES,Super Pitfall,Activision,1987-11-01
NES,Super Spike V'Ball,Nintendo,1990-02-01
