Console,Title,Licensee,Released
GB,Smufrs Nightmare,Infogrames,1999-06-01
GB,Sneaky Snakes,Tradewest,1991-06-01
GB,Snoopy's Magic Show,Seika,1990-10-01
GB,Snow Bros. Jr.,Capcom,1992-01-01
GB,Soccer Mania,Sony Imagesoft,1992-03-01
GB,Solar Striker,Nintendo,1990-02-01
GB,Solitaire FunPak,Interplay,1994-11-01
GB,Solomon's Club,Tecmo,1991-04-01
GB,Space Invaders,Activision,1999-10-01
GB,Space Invaders: The Arcade Game,Nintendo,1994-10-01
GB,Spanky's Quest,Natsume,1992-07-01
GB,Speedball II,Mindscape,1992-10-01
GB,Speedy Gonzales,Sunsoft,1993-07-01
GB,Speedy Gonzales: Aztec Adventure,Sunsoft,2000-01-01
GB,Spider-Man & X-Men: Arcade's Revenge,LJN,1993-12-01
GB,Spider-Man 2,LJN,1992-08-01
GB,Spider-Man 3: Invasion of the Spider Slayers,LJN,1993-07-01
GB,Sports Illustrated for Kids: The Ultimate Triple Dare,Malibu Games,1994-04-01
GB,Sports Illustrated Golf Classic,Malibu Games,1994-10-01
GB,Sports Illustrated: Championship Football & Baseball,Malibu Games,1993-10-01
GB,Spot,Virgin Interactive,1991-09-01
GB,Spot's Cool Adventure,Virgin Interactive,1993-01-01
GB,Spud's Adventure,Atlus Software,1991-06-01
GB,Spy vs. Spy: Operation Booby Trap,Kemco,1992-09-01
GB,Square Deal,DTMC,1992-04-01
GB,Star Hawk,Accolade,1993-06-01
GB,Star Trek,Ultra Soft,1992-02-01
GB,Star Trek Generations: Beyond the Nexus,Absolute,1994-11-01
GB,Star Trek: The Next Generation,Absolute,1993-06-01
GB,Star Wars,Nintendo,1992-11-01
GB,Stargate,Acclaim,1994-12-01
GB,Stop That Roach,Koei,1994-07-01
GB,Street Fighter II,Nintendo,1995-09-01
GB,Street Racer,UBI Soft,1996-12-01
GB,Sumo Fighter,DTMC,1993-03-01
GB,Super Battletank,Absolute,1994-04-01
GB,Super Black Bass,Hot-B,1998-11-01
GB,Super Breakout,Majesco,1998-12-01
GB,Super Chase HQ,Taito Software,1994-01-01
GB,Super Hunchback,Ocean,1992-04-01
GB,Super Mario Land,Nintendo,1989-08-01
GB,Super Mario Land 2: 6 Golden Coins,Nintendo,1992-11-01
GB,Super Off Road,Tradewest,1992-11-01
GB,Super R.C. Pro-Am Racing,Nintendo,1991-10-01
GB,Super Return of the Jedi,Black Pearl Software,1995-11-01
GB,Super Scrabble,Milton Bradley,1991-03-01
GB,Superman,Titus,1997-12-01
GB,Survival Kids,Konami,1999-10-01
GB,Swamp Thing,THQ,1992-10-01
GB,T2: The Arcade Game,LJN,1992-11-01
GB,Tail 'Gator,Natsume,1991-06-01
GB,Tale Spin,Capcom,1992-12-01
GB,Tamagotchi,Bandai,1997-10-01
GB,Tarzan: Lord of the Jungle,Gametek,1994-10-01
GB,Tasmania Story,FCI,1991-04-01
GB,Tasmanian Devil: Munching Madness,Sunsoft,1999-11-01
GB,Taz-Mania,Sunsoft,1994-09-01
GB,Taz-Mania 2,Black Pearl Software,1997-01-01
GB,Tecmo Bowl,Tecmo,1991-09-01
GB,Teenage Mutant Ninja Turtles II: Back from the Sewers,Konami,1991-12-01
GB,Teenage Mutant Ninja Turtles III: Radical Rescue,Konami,1993-11-01
GB,Teenage Mutant Ninja Turtles: Fall of the Foot Clan,Ultra Soft,1990-08-01
GB,Tennis,Nintendo,1989-08-01
GB,Terminator 2: Judgment Day,LJN,1992-01-01
GB,Tesserae,Gametek,1993-08-01
GB,Test Drive Off Road 3,Infogrames,1999-11-01
GB,Tetris,Nintendo,1989-06-01
GB,Tetris 2,Nintendo,1993-12-01
GB,Tetris Attack,Nintendo,1996-08-01
GB,Tetris Blast,Nintendo,1996-01-01
GB,Tetris DX,Nintendo,1998-11-01
GB,Tetris Plus,Nintendo,1997-08-01
GB,The Addams Family,Ocean,1992-01-01
GB,The Addams Family: Pugsley's Scavenger Hunt,Ocean,1993-07-01
GB,The Adventures of Star Saver,Taito Software,1992-03-01
GB,The Amazing Spider-Man,LJN,1990-07-01
GB,The Blues Brothers,Titus,1992-06-01
GB,The Bugs Bunny Crazy Castle,Nintendo,1990-03-01
GB,The Bugs Bunny Crazy Castle 2,Nintendo,1991-09-01
GB,The Chessmaster,Hi-Tech,1991-01-01
GB,The Empire Strikes Back,Capcom,1993-01-01
GB,The Fidgetts,Jaleco,1997-10-01
GB,The Flash,THQ,1992-03-01
GB,The Flintstones: King Rock Treasure Island,Taito Software,1993-02-01
GB,The Flintstones: The Movie,Ocean,1994-12-01
GB,The Game of Harmony,Accolade,1991-02-01
GB,The Getaway,Midway,1995-12-01
GB,The Humans,Gametek,1992-12-01
GB,The Hunchback of Notre Dame,THQ,1997-03-01
