Console,Title,Licensee,Released
SNES,SimCity 2000,Black Pearl Software,1996-11-01
SNES,SimEarth: The Living Planet,FCI,1993-02-01
SNES,Sküljagger: Revolt of the Westicans,American Softworks,1992-10-01
SNES,Skyblazer,Sony Imagesoft,1994-01-01
SNES,SmartBall,Sony Imagesoft,1992-03-01
SNES,Snow White: Happily Ever After,American Softworks,1994-10-01
SNES,Soldiers of Fortune,Spectrum Holobyte,1993-12-01
SNES,Sonic Blastman,Taito Software,1993-02-01
SNES,Sonic Blastman 2,Taito Software,1994-11-01
SNES,Soul Blazer,Enix,1992-08-01
SNES,Space Ace,Absolute,1994-05-01
SNES,Space Football: One on One,Triffix,1992-06-01
SNES,Space Invaders,Nintendo,1997-11-01
SNES,Space Megaforce,Toho,1992-10-01
SNES,Spanky's Quest,Natsume,1992-07-01
SNES,Sparkster,Konami,1994-10-01
SNES,Spawn,Acclaim,1995-10-01
SNES,Spectre,Cybersoft,1994-05-01
SNES,Speed Racer: In My Most Dangerous Adventures,Accolade,1994-11-01
SNES,Speedy Gonzales: Los Gatos Bandidos,Majesco,1995-08-01
SNES,Spider-Man & Venom: Maximum Carnage,Acclaim,1994-09-01
SNES,Spider-Man & Venom: Separation Anxiety,Acclaim,1995-11-01
SNES,Spider-Man & X-Men: Arcade's Revenge,Majesco,1992-11-01
SNES,Spider-Man: The Animated Series,Acclaim,1995-02-01
SNES,Spindizzy Worlds,Ascii,1993-03-01
SNES,Sports Illustrated: Championship Football & Baseball,Malibu Games,1994-02-01
SNES,Star Fox,Nintendo,1993-03-01
SNES,Star Trek: Deep Space Nine - Crossroads of Time,Playmates,1995-09-01
SNES,Star Trek: Starfleet Academy (Starship Bridge Simulator),Interplay,1994-12-01
SNES,Star Trek: The Next Generation,Spectrum Holobyte,1994-03-01
SNES,Stargate,Acclaim,1995-04-01
SNES,Steel Talons,Left Field Ent.,1993-11-01
SNES,Sterling Sharpe: End 2 End,Jaleco,1995-03-01
SNES,Stone Protectors,Kemco,1994-11-01
SNES,Street Combat,Irem,1993-04-01
SNES,Street Fighter Alpha 2,Nintendo,1996-11-01
SNES,Street Fighter II Turbo: Hyper Fighting,Capcom,1993-08-01
SNES,Street Fighter II: The World Warrior,Majesco,1992-07-01
SNES,Street Hockey '95,GTE,1994-11-01
SNES,Street Racer,UBI Soft,1994-12-01
SNES,Strike Gunner: S.T.G.,NTVIC,1992-08-01
SNES,Stunt Race FX,Nintendo,1994-07-01
SNES,Sunset Riders,Konami,1993-10-01
SNES,Super Adventure Island,Hudson Soft,1992-04-01
SNES,Super Adventure Island II,Hudson Soft,1994-10-01
